C460,Normal
C531,Slow
D075,Normal
D087,Normal
D090,L1
D241,Slow
D258,L2
D359,Normal
D435,L2
D482,L1
D489,Slow
E028,Normal
E058,Slow
E061,L2
E157,Slow
E175,Normal
E184,L2
E194,L2
E221,Normal
E234,Normal
E249,Slow
E273,Slow
E281,L2
E301,Normal
E306,Slow
E321,Slow
E336,L1
E346,Normal
E356,Normal
E379,Normal
E385,Normal
E392,Normal
E403,Normal
E413,Slow
E432,Normal
E434,Slow
E435,L2
E447,Slow
E448,L2
E459,L2
E461,L2
E467,Normal
E471,Slow
E472,Normal
E478,Slow
E488,Slow
E490,L2
E494,Normal
E496,Slow_1
G016,Normal
G031,Normal
G057,Normal
G061,Slow
G063,Normal
G065,L2
G071,Slow
G072,Slow
G078,Normal
G095,Slow
G103,Slow
G109,Slow
G110,Slow_1
G112,Slow
G115,Normal
G123,Slow
G125,Normal
G126,Slow
G128,Slow
G129,Normal
G138,Slow
G150,Slow
G166,L1
G170,Slow
G171,Normal
G173,Slow
G180,Slow
G195,Normal
G203,Normal
G204,Normal
G207,Slow
G209,Normal
G210,Normal
G213,Normal
G223,L2
G227,Slow
G229,Normal
G230,Slow
G236,Normal
G250,Slow
G258,Normal
G264,Normal
G265,Slow
G266,Slow_1
G268,Normal
G272,Slow
G277,Slow
G292,Slow
G301,Normal
G304,Normal
G306,Normal
G307,Slow
G312,Slow
G315,L2
G326,Normal
G328,Normal
G333,Slow
G335,Normal
G339,Slow
G352,Slow
G354,L2
G365,Normal
G368,Slow
G371,Normal
G372,Slow
G374,Slow
G380,Slow
G389,Normal
G394,Slow
G400,Normal
G402,Slow
G404,L2
G408,Slow
G427,L2
G446,Normal
G451,Normal
G452,Normal
G455,Normal
G458,Normal
G463,Slow
G465,Slow
G466,Slow
G467,Slow
G471,Slow
G476,Slow
G477,Normal
H002,Slow
H008,Normal
H011,Slow
H012,Normal
H016,L2
H018,Normal
H027,Slow
H028,Normal
H034,Normal
H037,Slow_1
H041,L2
H044,Slow
H046,L2
H047,Slow
H053,Normal
H055,Slow
H057,Normal
H059,Normal
H061,L2
H065,Normal
H066,Normal
H068,Normal
H069,Slow
H070,Normal
H072,Slow
H081,L2
H087,Normal
H089,Normal
H092,Normal
H095,Normal
H097,Normal
H106,Slow
H108,L2
H110,Normal
H111,Slow
H113,Normal
H115,Normal
H116,Normal
H117,L1
H121,Normal
H122,Normal
H123,Slow
H127,L2
H128,L2
H133,Slow
H134,L1
H135,Normal
H137,Normal
H139,Slow
H141,Slow
H142,Normal
H144,Normal
H148,Slow
H151,Normal
H153,Normal
