

1,1,J452,Normal
1,2,E448,L2
1,3,J105,Normal
1,4,H034,Normal
1,5,H471,Slow
1,6,J252,Slow
1,7,G301,Normal
1,8,H386,Slow
1,9,D241,Slow
1,10,G372,Slow
1,
1,
1,
1,


2,1,K433,L1
2,2,K165,Normal
2,3,K503,New_X
2,4,K332,Slow
2,5,K429,Slow
2,6,K374,Slow
2,7,K166,Slow
2,8,K423,New
2,9,K455,Slow
2,10,K464,Slow
2,11,K259,Slow
2,
2,
2,


3,1,K400,Normal
3,2,E435,L2
3,3,K289,Slow
3,4,K148,Slow
3,5,K487,New
3,6,J530,Normal
3,7,K122,Slow
3,8,K431,Slow
3,9,K339,Slow
3,10,K038,Slow
3,11,K046,Slow
3,12,J366,Normal
3,
3,


4,1,E494,Normal
4,2,H481,Normal
4,3,K190,Normal
4,4,J080,Normal
4,5,K200,Slow
4,6,J215,Slow
4,7,J137,Slow
4,8,J194,Slow
4,9,H016,L2
4,10,H392,L2
4,11,E471,Slow
4,12,G312,Slow
4,13,J258,Slow
4,


5,1,J398,Slow
5,2,J170,Slow
5,3,K155,Slow
5,4,K262,Slow
5,5,J533,Normal
5,6,J377,Slow
5,7,J447,Normal
5,8,J477,Normal
5,9,J224,L2
5,10,J463,Slow
5,11,H354,Slow
5,12,J509,Slow
5,13,J524,Normal
5,14,J425,Slow


6,1,J161,Slow
6,2,J143,L2
6,3,K476,New
6,4,J531,L1
6,5,K167,Slow
6,6,J540,Normal
6,7,K312,Slow
6,8,K366,Slow
6,9,K370,Normal
6,10,K365,Slow
6,11,K381,Normal
6,12,K263,Slow
6,
6,


7,1,K184,Slow
7,2,J015,Slow
7,3,K358,Normal
7,4,E459,L2
7,5,K382,Slow
7,6,J225,Slow
7,7,H459,Slow
7,8,K319,Slow
7,9,K323,Slow
7,10,K282,Normal
7,11,K305,Normal
7,12,J294,Slow
7,13,K143,Slow
7,14,J397,Normal


8,1,H165,Normal
8,2,J279,Normal
8,3,G223,L2
8,4,J330,Normal
8,5,J200,Normal
8,6,G209,Normal
8,7,J486,Normal
8,8,H161,Slow
8,9,K094,Normal
8,10,K079,Normal
8,11,H135,Normal
8,12,K062,Slow
8,
8,


9,1,J195,Normal
9,2,J008,Slow
9,3,G365,Normal
9,4,H081,L2
9,5,H410,Normal
9,6,H303,Normal
9,7,G268,Normal
9,8,E061,L2
9,9,J141,Normal
9,10,K208,Normal
9,11,J321,Normal
9,
9,
9,


10,1,J027,Normal
10,2,J418,L2
10,3,K146,Slow
10,4,K495,Slow
10,5,H321,L2
10,6,J233,Normal
10,7,H364,Normal
10,8,H433,Slow
10,9,K092,V_Slow
10,10,J265,Slow
10,11,K204,Slow
10,12,H197,Slow
10,
10,


11,1,D090,Normal
11,2,D241,New
11,3,D258,New_2
11,4,D359,Slow_1
11,5,D435,V_Slow
11,6,D482,L2
11,
11,
11,
11,
11,
11,
11,
11,

